Bash version 5.0.16(1)-release...
Welcome 1 times
Nodes num:  100  AS: 50 Step  30 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  31 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  32 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  33 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  34 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  35 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  36 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  37 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  38 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  39 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  40 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  41 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  42 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  43 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  44 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  45 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  46 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  47 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  48 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  49 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Welcome 3 times
Nodes num:  100  AS: 50 Step  1 ; sS:  1974  avg  19.74 ; cS:  5466  avg  54.66 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 39
Nodes num:  100  AS: 50 Step  2 ; sS:  2293  avg  22.93 ; cS:  3964  avg  39.64 ; tC  192  avg  1.92 ; avgNs:  2.82 ; Done: 55
Nodes num:  100  AS: 50 Step  3 ; sS:  2417  avg  24.17 ; cS:  3272  avg  32.72 ; tC  178  avg  1.78 ; avgNs:  2.82 ; Done: 57
Nodes num:  100  AS: 50 Step  4 ; sS:  4765  avg  47.65 ; cS:  608  avg  6.08 ; tC  9384  avg  93.84 ; avgNs:  2.82 ; Done: 85
Nodes num:  100  AS: 50 Step  5 ; sS:  2772  avg  27.72 ; cS:  31  avg  0.31 ; tC  156  avg  1.56 ; avgNs:  2.82 ; Done: 95
Nodes num:  100  AS: 50 Step  6 ; sS:  2844  avg  28.44 ; cS:  5  avg  0.05 ; tC  6  avg  0.06 ; avgNs:  2.82 ; Done: 95
Nodes num:  100  AS: 50 Step  7 ; sS:  2851  avg  28.51 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  8 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  9 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  10 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  11 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  12 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  13 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  14 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  15 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  16 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  17 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  18 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  19 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  20 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  21 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  22 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
